id=2 | cat=法律 | no=主席令第三十二号 | title=中华人民共和国土地管理法
id=3 | cat=行政法规 | no=国务院令第743号 | title=中华人民共和国土地管理法实施条例
id=4 | cat=部门规章 | no=自然资源部、农业农村部令第17号 | title=永久基本农田保护红线管理办法
id=5 | cat=规范性文件 | no=自然资发〔2024〕204号 | title=自然资源部 农业农村部关于改革完善耕地占补平衡管理的通知
id=6 | cat=规范性文件 | no=国土资发〔2009〕168号 | title=国土资源部 农业部关于加强占补平衡补充耕地质量建设与管理的通知
id=7 | cat=规范性文件 | no=国土资发〔2008〕138号 | title=城乡建设用地增减挂钩试点管理办法
id=8 | cat=规范性文件 | no=自然资发〔2021〕178号 | title=巩固拓展脱贫攻坚成果同乡村振兴有效衔接过渡期内城乡建设用地增减挂钩节余指标跨省域调剂管理办法
id=9 | cat=部门规章 | no=自然资源部令第5号 | title=节约集约利用土地规定
id=10 | cat=地方性法规 | no=广东省第十三届人民代表大会常务委员会公告第113号 | title=广东省土地管理条例
id=11 | cat=规范性文件 | no=粤自然资规字〔2024〕6号 | title=广东省自然资源厅关于进一步规范征收土地工作的通知
id=12 | cat=规范性文件 | no=粤自然资规字〔2024〕7号 | title=广东省自然资源厅关于进一步规范土地征收成片开发工作的通知
id=13 | cat=规范性文件 | no=粤自然资规字〔2024〕8号 | title=广东省自然资源厅关于进一步规范国有建设用地使用权出让管理相关工作的通知
id=14 | cat=法律 | no=主席令第七十四号 | title=中华人民共和国城乡规划法
id=15 | cat=法律 | no=主席令第十七号 | title=中华人民共和国农村土地承包法
id=16 | cat=法律 | no=主席令第三十六号 | title=中华人民共和国矿产资源法
id=17 | cat=法律 | no=主席令第九号 | title=中华人民共和国环境保护法
id=18 | cat=行政法规 | no=国务院令第257号 | title=基本农田保护条例
id=19 | cat=行政法规 | no=国务院令第592号 | title=土地复垦条例
id=20 | cat=行政法规 | no=国务院令第656号 | title=不动产登记暂行条例
id=21 | cat=行政法规 | no=国务院令第394号 | title=地质灾害防治条例
id=22 | cat=部门规章 | no=国土资源部令第53号 | title=闲置土地处置办法
id=23 | cat=部门规章 | no=国土资源部令第68号 | title=建设项目用地预审管理办法
id=24 | cat=部门规章 | no=国土资源部令第17号 | title=土地权属争议调查处理办法
id=25 | cat=规范性文件 | no=自然资发〔2021〕166号 | title=自然资源部 农业农村部 国家林业和草原局关于严格耕地用途管制有关问题的通知
id=26 | cat=规范性文件 | no=自然资办发〔2021〕42号 | title=自然资源部办公厅关于进一步规范临时用地管理的通知
id=27 | cat=规范性文件 | no=自然资发〔2023〕89号 | title=自然资源部关于进一步做好用地用海要素保障的通知
id=28 | cat=技术标准 | no=GB/T 21010-2017 | title=土地利用现状分类
id=29 | cat=技术标准 | no=GB/T 30600-2022 | title=高标准农田建设 通则
id=30 | cat=规范性文件 | no=粤自然资规字〔2023〕1号 | title=广东省耕地保护经济补偿办法
